chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,genre
0.3126522,0.09146759,0.090108976,0.0010787027,3391.6516306568024,578874.1494095495,2937.7820402475104,127468.49312539876,6841.975911458333,2088617.667439911,0.17137315538194445,0.004199721011114709,123.046875,-116.59075,1181.3196,47.801556,406.53522,-14.936519,351.2634,3.0631194,217.14398,2.6641095,244.93552,0.83426523,121.75888,-0.70845973,125.01836,-13.058144,139.92407,-10.525308,66.83135,-1.9925531,100.838036,-5.838693,59.390583,-11.800389,71.83159,1.4369004,51.66448,-1.5602163,48.184307,-13.054574,61.654793,-0.31490043,73.04471,-7.808761,71.42094,-10.312478,62.829556,-1.7267799,87.1905,1.0031575,122.01798,disco
0.3679558,0.09370187,0.15665211,0.0034876848,3106.9056140288444,185137.86091180105,2762.3450965983243,49396.51889176099,6179.5806884765625,1048732.3845829815,0.16282371238425927,0.001943568061572207,123.046875,-35.920635,2641.783,59.99172,202.09521,-15.002032,99.111885,20.306898,158.49062,0.8145317,130.35498,3.2708771,130.67097,3.4139128,59.899334,-2.8363676,49.08213,-0.91730064,63.88226,0.015389054,38.28238,-5.388724,68.11217,-7.3756614,64.036705,-2.920386,35.01869,-2.4003084,41.48957,-4.482224,55.903744,1.3573309,54.50142,-2.0385373,40.174484,-2.48989,74.16621,2.2104597,85.86474,1.2387054,61.35352,disco
0.46817043,0.07500675,0.10929703,0.0015473836,3177.72889330484,226353.37944921447,2831.0435094441887,58751.09103791401,6552.2247314453125,1108973.2456859201,0.17817066333912038,0.0015357209034826205,123.046875,-56.647964,1430.9308,59.637695,205.72873,-16.694746,135.61465,16.448158,149.6603,13.834942,55.28127,13.680715,46.78958,3.5642316,38.650345,0.7958866,40.410866,2.567441,27.92573,0.7525078,24.242762,-6.610787,39.32369,-1.1741884,24.387012,-4.4307566,31.34498,-1.0542814,18.418467,-1.5034792,24.82776,-2.0072613,23.58562,-4.007629,23.485058,-2.1722016,23.752096,-2.1650157,27.929846,-0.39300728,31.962477,disco
0.4640757,0.07243867,0.102249436,0.0017262053,3359.8452234779397,387203.18892306864,2923.0784091807386,95959.24180944652,6855.6833902994795,1656231.8227181418,0.1875904224537037,0.0025045216001764407,123.046875,-68.16185,1772.6979,55.74073,330.23843,-3.553488,184.40726,23.193592,129.29959,9.481732,80.54373,13.828917,39.28293,3.613099,51.49011,-2.8198793,54.056427,1.556105,37.56081,1.0092763,35.11141,-6.2356873,37.803524,0.46072078,23.655956,-5.8711863,23.773153,-0.90220565,27.138807,0.69643784,27.672482,-1.6008608,16.980583,-5.2285166,22.865438,-3.0089095,18.711296,-4.916043,27.006628,-3.0854623,36.021027,disco
0.42773187,0.075083435,0.11753937,0.0027852538,3299.261772890422,546363.7574401437,2962.2205568010622,119777.04617700956,6838.1378173828125,1990120.0996991247,0.17527262369791666,0.003903336685012888,123.046875,-64.15313,2114.9502,61.569904,413.6671,0.55005497,228.67697,15.808325,326.54218,4.445729,131.43909,11.491948,65.89374,11.051598,67.153015,-2.6213043,62.831192,-1.9345438,47.432293,3.9893003,31.948978,-5.346972,47.44014,-3.2450192,36.79915,-3.6564283,43.56506,1.0551316,30.034323,0.58262014,40.85607,-1.188064,42.289143,-3.6143973,28.733873,-2.0023305,29.370424,-2.0771549,40.16994,-0.67079234,32.704903,disco
0.47379285,0.07729451,0.11660738,0.0018576538,3187.729281890546,350278.8905508477,2966.2254255180737,74442.05034005862,6782.460530598958,1322570.6470964684,0.16245524088541666,0.002559084169290684,123.046875,-58.67125,1790.6812,66.007706,280.79242,0.7546959,214.30702,13.983763,187.29527,1.9426847,83.79857,2.8648822,148.94028,3.433224,97.43231,-0.9769977,95.407425,1.2328464,63.339165,5.7974677,34.353695,-3.5225723,48.570557,0.7370126,47.897194,-3.8793347,43.761864,-2.9752913,34.915234,-2.7631443,42.974575,-3.391599,57.833153,-3.5483043,26.293348,-1.9272456,33.9091,-3.923909,34.424076,0.12339204,47.51076,disco
0.6210909,0.056089606,0.04363398,0.0,2567.9739021453724,0.0,2972.979268800962,0.0,6524.560546875,0.0,0.01318359375,0.0,0.0,-103.91325,0.0,97.49873,0.0,9.253026,0.0,-8.557327,0.0,-6.7681885,0.0,-11.926271,0.0,-10.663244,0.0,-13.090981,0.0,-10.345839,0.0,-0.11853573,0.0,-8.655459,0.0,-11.93672,0.0,-6.499016,0.0,-6.9373927,0.0,-11.572409,0.0,-10.833931,0.0,2.6126056,0.0,6.8701553,0.0,4.356188,0.0,-5.1534033,0.0,disco
0.4757313,0.07447412,0.092651665,0.0010512642,2024.145093311463,441708.8539024677,2143.091308949268,203544.92489543813,4427.1169026692705,2262554.8109650197,0.09055582682291667,0.001962919616036945,129.19921875,-132.92072,4286.2456,116.69826,823.2632,-21.241074,401.69644,45.644035,107.224266,-8.90772,126.282364,27.75298,84.76729,-14.507096,73.14625,19.225626,55.809624,-13.900014,55.028915,16.86467,53.776104,-12.890948,53.771683,8.562476,32.232925,-11.969471,39.86848,5.747817,27.648342,-10.235225,29.257326,2.778595,35.813065,-8.525471,32.303864,-1.0314159,38.38904,-5.5966334,28.125027,2.6512644,26.662672,disco
0.45328766,0.06961667,0.10264443,0.00079253165,2197.121438899903,130537.93321997969,2120.0030398724107,72185.8664816818,4520.876057942708,844652.0519215199,0.12321415653935185,0.00048800822556918205,129.19921875,-91.48405,1547.826,110.417336,300.92453,-36.462345,174.91852,43.285923,87.09225,-13.018061,71.6032,29.127312,38.05411,-14.785188,67.20736,20.922625,40.985,-16.369852,43.3854,19.957273,38.967106,-16.209196,32.8838,10.591478,21.04163,-10.428672,49.98889,9.244917,43.46477,-10.405394,25.521566,5.545576,25.929977,-10.185547,23.841194,0.8518962,27.811277,-5.7372684,29.792103,4.8579245,70.85216,disco
0.4637681,0.070413895,0.103316106,0.00082218787,2179.5127716504594,134716.9686262571,2104.7752314580653,70020.18841095589,4475.616455078125,791576.9648179412,0.12218560112847222,0.0006740854386194252,129.19921875,-94.93924,2031.5804,110.213,273.65668,-37.201977,202.89606,44.516354,134.34436,-13.717914,60.033203,28.62772,28.738058,-14.518092,68.09161,20.096224,39.603634,-17.0074,49.4247,18.1481,39.270786,-16.02206,37.728767,11.092599,22.870405,-12.585652,41.389645,7.348383,41.353855,-10.647042,35.4302,4.8562827,24.77865,-10.244542,28.522425,0.5734586,40.01967,-6.6397085,33.251293,1.7306058,55.62757,disco
